playerCode,position,totalYards,passingYards,rushingYards,receivingYards
1-J.HURTS,QB,4301,3515,786,0
26-S.BARKLEY,RB,2779,0,2465,314
11-A.BROWN,WR,1206,0,7,1199
6-D.SMITH,WR,956,0,1,955
88-D.GOEDERT,TE,703,0,19,684
14-K.GAINWELL,RB,464,0,322,142
16-T.MCKEE,QB,334,323,11,0
7-K.PICKETT,QB,311,292,19,0
81-G.CALCATERRA,TE,302,0,0,302
83-J.DOTSON,WR,294,0,13,281
28-W.SHIPLEY,RB,210,0,175,35
82-A.SMITH,WR,47,0,6,41
89-J.WILSON,WR,46,0,8,38
18-B.COVEY,WR,34,0,0,34
80-P.CAMPBELL,WR,30,0,0,30
35-T.DAVIS-PRICE,RB,7,0,7,0
84-E.JENKINS,TE,7,0,0,7
38-J.ROSS,WR,6,0,0,6
13-D.PARKER,WR,0,0,0,0
47-C.UZOMAH,TE,0,0,0,0
48-K.BLASINGAME,RB,0,0,0,0
41-A.WATKINS,WR,0,0,0,0
46-J.HARRIS,WR,0,0,0,0
13-I.BOOK,QB,0,0,0,0
18-K.PHILIPS,WR,0,0,0,0
34-N.MUSE,TE,0,0,0,0
6-D.GRAY,WR,0,0,0,0
38-A.NICHOLS,RB,0,0,0,0
86-J.NGATA,WR,0,0,0,0
82-C.LATU,TE,0,0,0,0
14-E.COOKS,WR,0,0,0,0
48-G.HEBERT,WR,0,0,0,0
43-K.FOELSCH,TE,0,0,0,0
43-M.ROSEMY-JACKSAINT,WR,0,0,0,0
